adm2_en,month,NO2,date
Maguindanao del Norte,2019-08,3.770201321482972e-05,2019-08-01T00:00:00
Maguindanao del Sur,2019-08,4.01613995392958e-05,2019-08-01T00:00:00
Davao de Oro,2019-09,3.67069080480272e-05,2019-09-01T00:00:00
Davao Occidental,2019-09,3.500235492283388e-05,2019-09-01T00:00:00
Cotabato,2019-09,3.787145506936283e-05,2019-09-01T00:00:00
Maguindanao del Norte,2019-09,3.7155072719449954e-05,2019-09-01T00:00:00
Maguindanao del Sur,2019-09,3.935695611719442e-05,2019-09-01T00:00:00
Davao de Oro,2019-10,3.5537046442656004e-05,2019-10-01T00:00:00
Davao Occidental,2019-10,3.3773460247283126e-05,2019-10-01T00:00:00
Cotabato,2019-10,3.742302004243767e-05,2019-10-01T00:00:00
Maguindanao del Norte,2019-10,3.63923702307983e-05,2019-10-01T00:00:00
Maguindanao del Sur,2019-10,3.8445342229502457e-05,2019-10-01T00:00:00
Davao de Oro,2019-11,3.5939308238360694e-05,2019-11-01T00:00:00
Davao Occidental,2019-11,3.469176276514826e-05,2019-11-01T00:00:00
Cotabato,2019-11,3.61785122897858e-05,2019-11-01T00:00:00
Maguindanao del Norte,2019-11,3.549969475201483e-05,2019-11-01T00:00:00
Maguindanao del Sur,2019-11,3.741815024179165e-05,2019-11-01T00:00:00
Davao de Oro,2019-12,3.375929130256183e-05,2019-12-01T00:00:00
Davao Occidental,2019-12,3.3035178631854423e-05,2019-12-01T00:00:00
Cotabato,2019-12,3.49618422437227e-05,2019-12-01T00:00:00
Maguindanao del Norte,2019-12,3.5293606660477695e-05,2019-12-01T00:00:00
Maguindanao del Sur,2019-12,3.740882771404685e-05,2019-12-01T00:00:00
Davao de Oro,2020-01,3.152567036059496e-05,2020-01-01T00:00:00
Davao Occidental,2020-01,3.147981479410925e-05,2020-01-01T00:00:00
Cotabato,2020-01,3.3736570046341e-05,2020-01-01T00:00:00
Maguindanao del Norte,2020-01,3.46345673151234e-05,2020-01-01T00:00:00
Maguindanao del Sur,2020-01,3.501306274316304e-05,2020-01-01T00:00:00
Davao de Oro,2020-02,3.134240742353257e-05,2020-02-01T00:00:00
Davao Occidental,2020-02,3.0778669332080296e-05,2020-02-01T00:00:00
Cotabato,2020-02,3.471238652990547e-05,2020-02-01T00:00:00
Maguindanao del Norte,2020-02,3.600586564804804e-05,2020-02-01T00:00:00
Maguindanao del Sur,2020-02,3.635385100974893e-05,2020-02-01T00:00:00
Davao de Oro,2020-03,3.3084276342682824e-05,2020-03-01T00:00:00
Davao Occidental,2020-03,3.302200519199711e-05,2020-03-01T00:00:00
Cotabato,2020-03,3.900950333517764e-05,2020-03-01T00:00:00
Maguindanao del Norte,2020-03,4.019927627601133e-05,2020-03-01T00:00:00
Maguindanao del Sur,2020-03,4.141284352138228e-05,2020-03-01T00:00:00
Davao de Oro,2020-04,3.8288573652222e-05,2020-04-01T00:00:00
Davao Occidental,2020-04,3.7519384191954384e-05,2020-04-01T00:00:00
Cotabato,2020-04,4.389473454455071e-05,2020-04-01T00:00:00
Maguindanao del Norte,2020-04,4.4910658066311874e-05,2020-04-01T00:00:00
Maguindanao del Sur,2020-04,4.682753214794549e-05,2020-04-01T00:00:00
Davao de Oro,2020-05,3.827089130144e-05,2020-05-01T00:00:00
Davao Occidental,2020-05,3.890669797500791e-05,2020-05-01T00:00:00
Cotabato,2020-05,4.3418372899480205e-05,2020-05-01T00:00:00
Maguindanao del Norte,2020-05,4.221315829049672e-05,2020-05-01T00:00:00
Maguindanao del Sur,2020-05,4.557562297879287e-05,2020-05-01T00:00:00
Davao de Oro,2020-06,4.026040768093054e-05,2020-06-01T00:00:00
Davao Occidental,2020-06,3.914934678145054e-05,2020-06-01T00:00:00
Cotabato,2020-06,4.276274640540465e-05,2020-06-01T00:00:00
Maguindanao del Norte,2020-06,4.229139484462656e-05,2020-06-01T00:00:00
Maguindanao del Sur,2020-06,4.42714912929788e-05,2020-06-01T00:00:00
Davao de Oro,2020-07,3.956013339421464e-05,2020-07-01T00:00:00
Davao Occidental,2020-07,3.835608308904688e-05,2020-07-01T00:00:00
Cotabato,2020-07,4.258371813374258e-05,2020-07-01T00:00:00
Maguindanao del Norte,2020-07,4.115618679076051e-05,2020-07-01T00:00:00
Maguindanao del Sur,2020-07,4.376971976808869e-05,2020-07-01T00:00:00
Davao de Oro,2020-08,4.081938840935582e-05,2020-08-01T00:00:00
Davao Occidental,2020-08,3.985736282302508e-05,2020-08-01T00:00:00
Cotabato,2020-08,4.255762399826386e-05,2020-08-01T00:00:00
Maguindanao del Norte,2020-08,4.114466774087507e-05,2020-08-01T00:00:00
Maguindanao del Sur,2020-08,4.3214764907600336e-05,2020-08-01T00:00:00
Davao de Oro,2020-09,4.003699816174512e-05,2020-09-01T00:00:00
Davao Occidental,2020-09,3.936725626287972e-05,2020-09-01T00:00:00
Cotabato,2020-09,4.228599899737063e-05,2020-09-01T00:00:00
Maguindanao del Norte,2020-09,4.0030469290220265e-05,2020-09-01T00:00:00
Maguindanao del Sur,2020-09,4.311011971931379e-05,2020-09-01T00:00:00
Davao de Oro,2020-10,4.13174746857008e-05,2020-10-01T00:00:00
Davao Occidental,2020-10,3.964927965129923e-05,2020-10-01T00:00:00
Cotabato,2020-10,4.159472161625434e-05,2020-10-01T00:00:00
Maguindanao del Norte,2020-10,3.998946970980931e-05,2020-10-01T00:00:00
Maguindanao del Sur,2020-10,4.21830579075015e-05,2020-10-01T00:00:00
Davao de Oro,2020-11,4.082206498321924e-05,2020-11-01T00:00:00
Davao Occidental,2020-11,4.098799218913315e-05,2020-11-01T00:00:00
Cotabato,2020-11,4.205343777020092e-05,2020-11-01T00:00:00
